headcount,eventtype,eventcategory,budget,venuecategory,budgetallocation,venue
669,techmeetupscommunity,meetupscommunity,3196000,exhibitionhall,"venue:33,food:22,av:11,marketing:10,logistics:25",Shangri-La
239,designconferencesexpos,conferencesexpos,365000,auditorium,"venue:37,speakers:26,food:8,av:14,marketing:13,logistics:6",SLIIT
360,techmeetupscommunity,meetupscommunity,2479000,exhibitionhall,"venue:29,food:25,av:8,marketing:13,logistics:23",Shangri-La
117,aiconferencesexpos,conferencesexpos,452000,openspace,"venue:32,speakers:27,food:7,av:15,marketing:7,logistics:4",Colombo Innovation Tower
789,codeworkshopstraining,workshopstraining,2250000,exhibitionhall,"venue:25,speakers:28,equipment:17,food:10,av:14,marketing:7",BMICH
81,codetalkspanels,talkspanels,45000,auditorium,"venue:29,speakers:17,food:18,av:12,marketing:17",UCSC
626,codemeetupscommunity,meetupscommunity,3339000,exhibitionhall,"venue:28,food:23,av:12,marketing:13,logistics:25",Shangri-La
1106,codemeetupscommunity,meetupscommunity,4899000,openspace,"venue:32,food:25,av:7,marketing:13,logistics:27",Nelum Pokuna
388,aimeetupscommunity,meetupscommunity,2213000,exhibitionhall,"venue:29,food:26,av:9,marketing:11,logistics:26",Shangri-La
330,designcareernetworking,careernetworking,1012000,openspace,"venue:32,speakers:23,food:18,av:13,marketing:14",Galadari
71,aiconferencesexpos,conferencesexpos,121000,coworkingspace,"venue:37,speakers:27,food:8,av:15,marketing:7,logistics:5",Gamers HQ
305,aiworkshopstraining,workshopstraining,1160000,openspace,"venue:27,speakers:33,equipment:18,food:8,av:14,marketing:8",Galadari
102,aiconferencesexpos,conferencesexpos,226000,studio,"venue:38,speakers:24,food:8,av:15,marketing:11,logistics:5",AOD
327,codeconferencesexpos,conferencesexpos,897000,openspace,"venue:36,speakers:27,food:13,av:15,marketing:13,logistics:4",Galadari
1086,techmeetupscommunity,meetupscommunity,4255000,openspace,"venue:33,food:28,av:12,marketing:12,logistics:26",Nelum Pokuna
94,techmeetupscommunity,meetupscommunity,165000,studio,"venue:27,food:26,av:10,marketing:9,logistics:26",AOD
154,techtalkspanels,talkspanels,513000,coworkingspace,"venue:29,speakers:21,food:17,av:12,marketing:15",Hatch
537,designtalkspanels,talkspanels,1341000,exhibitionhall,"venue:30,speakers:19,food:19,av:16,marketing:16",BMICH
139,codeworkshopstraining,workshopstraining,432000,openspace,"venue:26,speakers:29,equipment:12,food:10,av:15,marketing:7",Colombo Innovation Tower
147,aitalkspanels,talkspanels,289000,coworkingspace,"venue:29,speakers:18,food:21,av:17,marketing:12",Trace Expert City
50,designworkshopstraining,workshopstraining,158000,openspace,"venue:25,speakers:32,equipment:18,food:13,av:15,marketing:8",Colombo Innovation Tower
248,aicompetitionshackathons,competitionshackathons,62000,auditorium,"venue:23,speakers:8,prizes:33,food:18,av:16,marketing:3",Virtusa
130,aitalkspanels,talkspanels,253000,coworkingspace,"venue:31,speakers:21,food:22,av:12,marketing:18",Trace Expert City
281,codeworkshopstraining,workshopstraining,349000,coworkingspace,"venue:22,speakers:33,equipment:13,food:7,av:16,marketing:6",Trace Expert City
108,aiworkshopstraining,workshopstraining,190000,studio,"venue:25,speakers:32,equipment:16,food:13,av:12,marketing:4",AOD
110,designcompetitionshackathons,competitionshackathons,363000,coworkingspace,"venue:17,speakers:7,prizes:30,food:22,av:15,marketing:7",Hatch
65,codeworkshopstraining,workshopstraining,209000,coworkingspace,"venue:27,speakers:31,equipment:12,food:7,av:16,marketing:6",Hatch
264,codetalkspanels,talkspanels,918000,openspace,"venue:31,speakers:17,food:18,av:14,marketing:17",Galadari
81,codecompetitionshackathons,competitionshackathons,95000,coworkingspace,"venue:20,speakers:12,prizes:31,food:18,av:18,marketing:3",Gamers HQ
37,techworkshopstraining,workshopstraining,52000,coworkingspace,"venue:28,speakers:27,equipment:16,food:12,av:15,marketing:8",Gamers HQ
394,aicompetitionshackathons,competitionshackathons,2735000,exhibitionhall,"venue:19,speakers:10,prizes:30,food:17,av:16,marketing:6",Shangri-La
534,techconferencesexpos,conferencesexpos,455000,auditorium,"venue:37,speakers:23,food:10,av:14,marketing:8,logistics:4",NSBM
462,aiconferencesexpos,conferencesexpos,378000,auditorium,"venue:34,speakers:25,food:12,av:13,marketing:8,logistics:4",NSBM
168,techcareernetworking,careernetworking,131000,auditorium,"venue:33,speakers:18,food:22,av:18,marketing:16",UCSC
115,designworkshopstraining,workshopstraining,315000,openspace,"venue:23,speakers:29,equipment:12,food:11,av:17,marketing:3",Colombo Innovation Tower
473,aicompetitionshackathons,competitionshackathons,1843000,openspace,"venue:18,speakers:12,prizes:31,food:22,av:16,marketing:4",Galadari
527,codecompetitionshackathons,competitionshackathons,631000,auditorium,"venue:17,speakers:13,prizes:30,food:17,av:14,marketing:3",NSBM
186,codeworkshopstraining,workshopstraining,106000,auditorium,"venue:27,speakers:31,equipment:18,food:13,av:18,marketing:7",UCSC
133,codeconferencesexpos,conferencesexpos,123000,auditorium,"venue:35,speakers:26,food:10,av:12,marketing:7,logistics:2",SLIIT
547,designworkshopstraining,workshopstraining,2836000,exhibitionhall,"venue:23,speakers:33,equipment:16,food:10,av:14,marketing:8",Shangri-La
196,codetalkspanels,talkspanels,610000,coworkingspace,"venue:29,speakers:17,food:21,av:14,marketing:18",Hatch
537,techconferencesexpos,conferencesexpos,3675000,exhibitionhall,"venue:34,speakers:27,food:13,av:15,marketing:9,logistics:5",Shangri-La
870,aimeetupscommunity,meetupscommunity,927000,openspace,"venue:29,food:27,av:12,marketing:10,logistics:25",Galle Face
34,aiworkshopstraining,workshopstraining,62000,coworkingspace,"venue:26,speakers:28,equipment:16,food:9,av:18,marketing:6",Gamers HQ
412,aimeetupscommunity,meetupscommunity,413000,auditorium,"venue:33,food:24,av:12,marketing:11,logistics:26",NSBM
430,techconferencesexpos,conferencesexpos,3002000,exhibitionhall,"venue:36,speakers:27,food:10,av:16,marketing:10,logistics:5",Shangri-La
218,designtalkspanels,talkspanels,288000,coworkingspace,"venue:32,speakers:22,food:23,av:15,marketing:12",Trace Expert City
404,codecareernetworking,careernetworking,1201000,openspace,"venue:29,speakers:23,food:21,av:18,marketing:12",Galadari
957,aicareernetworking,careernetworking,2401000,exhibitionhall,"venue:30,speakers:20,food:23,av:18,marketing:14",BMICH
85,codemeetupscommunity,meetupscommunity,252000,openspace,"venue:31,food:27,av:9,marketing:11,logistics:27",Colombo Innovation Tower
601,techcompetitionshackathons,competitionshackathons,2549000,openspace,"venue:20,speakers:11,prizes:31,food:19,av:17,marketing:2",Nelum Pokuna
180,codeworkshopstraining,workshopstraining,55000,auditorium,"venue:23,speakers:30,equipment:13,food:12,av:13,marketing:2",Virtusa
483,designworkshopstraining,workshopstraining,649000,auditorium,"venue:23,speakers:29,equipment:12,food:10,av:14,marketing:3",NSBM
50,techconferencesexpos,conferencesexpos,17000,auditorium,"venue:37,speakers:24,food:11,av:15,marketing:8,logistics:8",UCSC
248,codemeetupscommunity,meetupscommunity,324000,auditorium,"venue:33,food:26,av:7,marketing:10,logistics:25",NSBM
58,designtalkspanels,talkspanels,167000,openspace,"venue:28,speakers:19,food:17,av:12,marketing:16",Colombo Innovation Tower
529,aicompetitionshackathons,competitionshackathons,474000,auditorium,"venue:17,speakers:13,prizes:27,food:18,av:18,marketing:7",NSBM
957,techmeetupscommunity,meetupscommunity,3079000,openspace,"venue:29,food:24,av:11,marketing:7,logistics:26",Nelum Pokuna
325,codeworkshopstraining,workshopstraining,2056000,exhibitionhall,"venue:24,speakers:27,equipment:16,food:9,av:18,marketing:7",Shangri-La
698,techcareernetworking,careernetworking,3435000,openspace,"venue:29,speakers:22,food:22,av:18,marketing:17",Nelum Pokuna
380,techmeetupscommunity,meetupscommunity,570000,auditorium,"venue:29,food:26,av:10,marketing:8,logistics:27",SLIIT
55,designmeetupscommunity,meetupscommunity,96000,coworkingspace,"venue:33,food:28,av:12,marketing:7,logistics:28",Gamers HQ
95,aiconferencesexpos,conferencesexpos,236000,coworkingspace,"venue:35,speakers:25,food:10,av:14,marketing:8,logistics:6",Hatch
111,aitalkspanels,talkspanels,82000,auditorium,"venue:33,speakers:17,food:22,av:18,marketing:15",UCSC
65,codeworkshopstraining,workshopstraining,144000,coworkingspace,"venue:26,speakers:28,equipment:12,food:13,av:18,marketing:4",Hatch
997,techworkshopstraining,workshopstraining,4865000,openspace,"venue:24,speakers:30,equipment:17,food:12,av:15,marketing:8",Nelum Pokuna
880,techworkshopstraining,workshopstraining,1987000,exhibitionhall,"venue:24,speakers:27,equipment:13,food:8,av:14,marketing:4",BMICH
308,designworkshopstraining,workshopstraining,430000,auditorium,"venue:26,speakers:28,equipment:12,food:11,av:12,marketing:4",SLIIT
151,codeconferencesexpos,conferencesexpos,465000,coworkingspace,"venue:36,speakers:27,food:12,av:16,marketing:10,logistics:6",Hatch
193,aicompetitionshackathons,competitionshackathons,120000,auditorium,"venue:19,speakers:8,prizes:27,food:20,av:18,marketing:5",UCSC
1423,aiworkshopstraining,workshopstraining,1497000,openspace,"venue:23,speakers:29,equipment:15,food:12,av:17,marketing:7",Galle Face
1358,techtalkspanels,talkspanels,2719000,exhibitionhall,"venue:32,speakers:20,food:23,av:14,marketing:17",BMICH
153,aicompetitionshackathons,competitionshackathons,118000,auditorium,"venue:19,speakers:7,prizes:33,food:20,av:18,marketing:4",UCSC
219,aicompetitionshackathons,competitionshackathons,589000,openspace,"venue:18,speakers:8,prizes:33,food:19,av:12,marketing:3",Galadari
99,codecareernetworking,careernetworking,170000,coworkingspace,"venue:32,speakers:17,food:22,av:17,marketing:17",Gamers HQ
122,aitalkspanels,talkspanels,260000,coworkingspace,"venue:31,speakers:21,food:21,av:18,marketing:18",Trace Expert City
50,techcompetitionshackathons,competitionshackathons,16000,auditorium,"venue:20,speakers:13,prizes:27,food:17,av:12,marketing:4",UCSC
606,designworkshopstraining,workshopstraining,4010000,exhibitionhall,"venue:23,speakers:28,equipment:12,food:7,av:12,marketing:6",Shangri-La
80,aiworkshopstraining,workshopstraining,121000,coworkingspace,"venue:28,speakers:33,equipment:14,food:12,av:14,marketing:5",Gamers HQ
213,codeworkshopstraining,workshopstraining,72000,auditorium,"venue:22,speakers:27,equipment:14,food:9,av:14,marketing:3",Virtusa
113,codemeetupscommunity,meetupscommunity,172000,studio,"venue:32,food:23,av:12,marketing:11,logistics:28",AOD
380,techtalkspanels,talkspanels,433000,auditorium,"venue:32,speakers:23,food:23,av:17,marketing:16",NSBM
917,designworkshopstraining,workshopstraining,2734000,exhibitionhall,"venue:28,speakers:32,equipment:17,food:10,av:15,marketing:4",BMICH
54,codeconferencesexpos,conferencesexpos,179000,openspace,"venue:33,speakers:28,food:10,av:17,marketing:11,logistics:4",Colombo Innovation Tower
277,codecompetitionshackathons,competitionshackathons,742000,openspace,"venue:20,speakers:11,prizes:28,food:20,av:15,marketing:3",Galadari
60,techcareernetworking,careernetworking,123000,studio,"venue:29,speakers:19,food:17,av:13,marketing:14",AOD
72,techcareernetworking,careernetworking,86000,coworkingspace,"venue:28,speakers:17,food:18,av:18,marketing:16",Gamers HQ
84,techcareernetworking,careernetworking,245000,studio,"venue:29,speakers:20,food:18,av:18,marketing:17",AOD
173,techcompetitionshackathons,competitionshackathons,56000,auditorium,"venue:20,speakers:9,prizes:29,food:19,av:12,marketing:7",Virtusa
262,techworkshopstraining,workshopstraining,325000,coworkingspace,"venue:26,speakers:30,equipment:16,food:8,av:17,marketing:3",Trace Expert City
127,techcareernetworking,careernetworking,397000,openspace,"venue:29,speakers:23,food:20,av:18,marketing:17",Colombo Innovation Tower
129,aiworkshopstraining,workshopstraining,21000,auditorium,"venue:23,speakers:30,equipment:13,food:8,av:12,marketing:2",Virtusa
56,techmeetupscommunity,meetupscommunity,22000,auditorium,"venue:33,food:24,av:8,marketing:12,logistics:28",UCSC
1324,designconferencesexpos,conferencesexpos,1419000,openspace,"venue:36,speakers:24,food:12,av:17,marketing:9,logistics:8",Galle Face
144,designconferencesexpos,conferencesexpos,196000,auditorium,"venue:34,speakers:26,food:11,av:14,marketing:10,logistics:7",SLIIT
88,codecareernetworking,careernetworking,247000,coworkingspace,"venue:30,speakers:19,food:21,av:18,marketing:15",Hatch
1110,techcareernetworking,careernetworking,2353000,exhibitionhall,"venue:33,speakers:21,food:17,av:12,marketing:13",BMICH
728,codecareernetworking,careernetworking,859000,openspace,"venue:29,speakers:20,food:21,av:14,marketing:18",Galle Face
101,techconferencesexpos,conferencesexpos,116000,auditorium,"venue:34,speakers:27,food:7,av:17,marketing:13,logistics:7",SLIIT
130,aicareernetworking,careernetworking,451000,coworkingspace,"venue:33,speakers:20,food:19,av:12,marketing:17",Hatch
146,designconferencesexpos,conferencesexpos,502000,openspace,"venue:37,speakers:23,food:12,av:16,marketing:8,logistics:3",Colombo Innovation Tower
1919,techcareernetworking,careernetworking,1244000,openspace,"venue:33,speakers:19,food:18,av:17,marketing:14",Galle Face
163,codecompetitionshackathons,competitionshackathons,213000,auditorium,"venue:17,speakers:10,prizes:29,food:19,av:12,marketing:2",SLIIT
283,designmeetupscommunity,meetupscommunity,612000,coworkingspace,"venue:29,food:26,av:12,marketing:13,logistics:26",Trace Expert City
118,techworkshopstraining,workshopstraining,18000,auditorium,"venue:25,speakers:29,equipment:12,food:13,av:17,marketing:7",Virtusa
167,codemeetupscommunity,meetupscommunity,128000,auditorium,"venue:31,food:26,av:13,marketing:10,logistics:26",UCSC
902,designcompetitionshackathons,competitionshackathons,2259000,exhibitionhall,"venue:19,speakers:13,prizes:30,food:21,av:15,marketing:4",BMICH
201,codeworkshopstraining,workshopstraining,365000,coworkingspace,"venue:23,speakers:31,equipment:12,food:12,av:14,marketing:3",Trace Expert City
1062,designworkshopstraining,workshopstraining,4837000,openspace,"venue:23,speakers:30,equipment:16,food:7,av:16,marketing:8",Nelum Pokuna
42,techcompetitionshackathons,competitionshackathons,58000,coworkingspace,"venue:21,speakers:11,prizes:33,food:22,av:12,marketing:6",Gamers HQ
1103,codecareernetworking,careernetworking,4643000,openspace,"venue:28,speakers:21,food:22,av:15,marketing:18",Nelum Pokuna
1742,techconferencesexpos,conferencesexpos,1454000,openspace,"venue:33,speakers:24,food:7,av:18,marketing:7,logistics:3",Galle Face
101,designmeetupscommunity,meetupscommunity,345000,coworkingspace,"venue:29,food:26,av:11,marketing:9,logistics:23",Hatch
118,designtalkspanels,talkspanels,5000,auditorium,"venue:33,speakers:20,food:23,av:14,marketing:13",Virtusa
100,codecompetitionshackathons,competitionshackathons,290000,openspace,"venue:18,speakers:11,prizes:31,food:23,av:15,marketing:7",Colombo Innovation Tower
159,codemeetupscommunity,meetupscommunity,320000,coworkingspace,"venue:33,food:27,av:12,marketing:10,logistics:23",Trace Expert City
113,codeworkshopstraining,workshopstraining,74000,auditorium,"venue:28,speakers:32,equipment:14,food:9,av:12,marketing:3",UCSC
222,designworkshopstraining,workshopstraining,218000,auditorium,"venue:23,speakers:27,equipment:18,food:13,av:13,marketing:3",SLIIT
1263,aiconferencesexpos,conferencesexpos,2451000,exhibitionhall,"venue:33,speakers:28,food:13,av:15,marketing:8,logistics:6",BMICH
40,designcompetitionshackathons,competitionshackathons,64000,coworkingspace,"venue:21,speakers:9,prizes:33,food:19,av:13,marketing:4",Gamers HQ
73,aitalkspanels,talkspanels,201000,coworkingspace,"venue:32,speakers:23,food:18,av:12,marketing:15",Hatch
996,codecompetitionshackathons,competitionshackathons,1911000,exhibitionhall,"venue:21,speakers:10,prizes:30,food:23,av:17,marketing:2",BMICH
366,techconferencesexpos,conferencesexpos,1208000,openspace,"venue:34,speakers:25,food:7,av:13,marketing:7,logistics:6",Galadari
1023,techworkshopstraining,workshopstraining,3956000,openspace,"venue:26,speakers:32,equipment:15,food:10,av:18,marketing:3",Nelum Pokuna
428,aimeetupscommunity,meetupscommunity,395000,auditorium,"venue:30,food:26,av:9,marketing:10,logistics:23",NSBM
690,aimeetupscommunity,meetupscommunity,598000,openspace,"venue:28,food:25,av:8,marketing:13,logistics:27",Galle Face
137,designmeetupscommunity,meetupscommunity,384000,openspace,"venue:32,food:26,av:9,marketing:7,logistics:27",Colombo Innovation Tower
1104,aitalkspanels,talkspanels,2400000,exhibitionhall,"venue:31,speakers:18,food:21,av:14,marketing:13",BMICH
76,techcareernetworking,careernetworking,115000,studio,"venue:29,speakers:17,food:23,av:16,marketing:15",AOD
1956,codetalkspanels,talkspanels,1888000,openspace,"venue:32,speakers:20,food:17,av:16,marketing:12",Galle Face
616,designcompetitionshackathons,competitionshackathons,3908000,exhibitionhall,"venue:23,speakers:13,prizes:30,food:18,av:13,marketing:2",Shangri-La
237,aitalkspanels,talkspanels,98000,auditorium,"venue:30,speakers:22,food:17,av:16,marketing:16",Virtusa
199,designmeetupscommunity,meetupscommunity,58000,auditorium,"venue:30,food:27,av:13,marketing:9,logistics:24",Virtusa
175,aiworkshopstraining,workshopstraining,513000,coworkingspace,"venue:23,speakers:32,equipment:12,food:8,av:12,marketing:5",Hatch
185,aimeetupscommunity,meetupscommunity,285000,auditorium,"venue:31,food:23,av:8,marketing:9,logistics:27",SLIIT
260,designtalkspanels,talkspanels,1024000,openspace,"venue:30,speakers:19,food:23,av:17,marketing:18",Galadari
846,techconferencesexpos,conferencesexpos,2897000,openspace,"venue:34,speakers:24,food:8,av:15,marketing:7,logistics:4",Nelum Pokuna
229,designmeetupscommunity,meetupscommunity,309000,auditorium,"venue:32,food:27,av:7,marketing:13,logistics:23",SLIIT
152,techmeetupscommunity,meetupscommunity,527000,coworkingspace,"venue:27,food:28,av:11,marketing:8,logistics:26",Hatch
243,designworkshopstraining,workshopstraining,292000,auditorium,"venue:23,speakers:27,equipment:12,food:9,av:14,marketing:7",SLIIT
517,aitalkspanels,talkspanels,3307000,exhibitionhall,"venue:30,speakers:20,food:20,av:16,marketing:12",Shangri-La
63,codemeetupscommunity,meetupscommunity,112000,studio,"venue:31,food:26,av:12,marketing:12,logistics:22",AOD
111,codetalkspanels,talkspanels,307000,studio,"venue:27,speakers:21,food:18,av:13,marketing:12",AOD
83,aimeetupscommunity,meetupscommunity,96000,coworkingspace,"venue:28,food:26,av:7,marketing:13,logistics:22",Gamers HQ
151,aiconferencesexpos,conferencesexpos,465000,coworkingspace,"venue:38,speakers:23,food:10,av:13,marketing:13,logistics:7",Hatch
677,codeconferencesexpos,conferencesexpos,376000,openspace,"venue:35,speakers:23,food:9,av:15,marketing:8,logistics:3",Galle Face
46,designworkshopstraining,workshopstraining,132000,studio,"venue:25,speakers:33,equipment:14,food:7,av:17,marketing:5",AOD
98,techconferencesexpos,conferencesexpos,387000,openspace,"venue:32,speakers:23,food:8,av:14,marketing:12,logistics:7",Colombo Innovation Tower
200,aitalkspanels,talkspanels,95000,auditorium,"venue:33,speakers:23,food:18,av:12,marketing:17",UCSC
184,aiworkshopstraining,workshopstraining,247000,auditorium,"venue:27,speakers:27,equipment:16,food:8,av:18,marketing:3",SLIIT
55,aitalkspanels,talkspanels,24000,auditorium,"venue:28,speakers:23,food:22,av:16,marketing:16",UCSC
1098,codecareernetworking,careernetworking,4769000,openspace,"venue:27,speakers:21,food:17,av:16,marketing:18",Nelum Pokuna
310,aitalkspanels,talkspanels,478000,auditorium,"venue:32,speakers:22,food:23,av:18,marketing:18",SLIIT
429,techcompetitionshackathons,competitionshackathons,1331000,openspace,"venue:19,speakers:11,prizes:33,food:22,av:15,marketing:6",Galadari
508,designcompetitionshackathons,competitionshackathons,569000,openspace,"venue:22,speakers:10,prizes:27,food:22,av:15,marketing:6",Galle Face
377,techtalkspanels,talkspanels,1398000,openspace,"venue:33,speakers:22,food:20,av:18,marketing:13",Galadari
977,techtalkspanels,talkspanels,3729000,openspace,"venue:29,speakers:22,food:17,av:12,marketing:13",Nelum Pokuna
93,aiworkshopstraining,workshopstraining,315000,coworkingspace,"venue:22,speakers:31,equipment:14,food:12,av:13,marketing:8",Hatch
764,techworkshopstraining,workshopstraining,784000,openspace,"venue:24,speakers:31,equipment:17,food:9,av:17,marketing:2",Galle Face
303,codeworkshopstraining,workshopstraining,1206000,openspace,"venue:27,speakers:30,equipment:18,food:12,av:14,marketing:4",Galadari
323,aitalkspanels,talkspanels,1229000,openspace,"venue:30,speakers:18,food:17,av:18,marketing:12",Galadari
725,techmeetupscommunity,meetupscommunity,4864000,exhibitionhall,"venue:30,food:24,av:12,marketing:12,logistics:25",Shangri-La
103,codecompetitionshackathons,competitionshackathons,267000,coworkingspace,"venue:21,speakers:11,prizes:33,food:17,av:17,marketing:3",Hatch
